Supercharger,Street Address,City,State,Zip,Country,Stalls,GPS,Elev.(m),Status,Open Date,Tesla,Discuss
"Manteca, CA",960 Perimeter Dr,Manteca,CA,95337,USA,8,"37.782622, -121.228683",9,Open,2015-02-12,SC,thread
"Utica, NY",50 Auert Ave,Utica,NY,13501,USA,8,"43.113878, -75.206857",128,Open,2015-02-11,SC,thread
"London, KY",140 Faith Assembly Church Rd,London,KY,40741,USA,6,"37.14916, -84.11385",361,Open,2015-02-04,SC,thread
"Petaluma, CA",401 Kenilworth Dr #1030,Petaluma,CA,94952,USA,10,"38.242693, -122.625049",8,Open,2015-02-03,SC,thread
"Elko, NV",2755 Mountain City Hwy,Elko,NV,89801,USA,6,"40.836301, -115.790859","1,574",Open,2015-02-03,SC,thread
"Lexington, KY",2155 Paul Jones Way,Lexington,KY,40509,USA,8,"38.017955, -84.420664",310,Open,2015-01-30,SC,thread
"Lone Pine, CA",701 S. Main St,Lone Pine,CA,93545,USA,4,"36.60059, -118.061916","1,137",Open,2015-01-28,SC,thread
"Lovelock, NV",150 Main St,Lovelock,NV,89419,USA,4,"40.179476, -118.472135","1,213",Open,2015-01-28,SC,thread
"West Wendover, NV",810 Wendover Blvd,West Wendover,NV,89883,USA,6,"40.738399, -114.058998","1,335",Open,2015-01-22,SC,thread
"Baton Rouge, LA",3535 Perkins Rd,Baton Rouge,LA,70808,USA,6,"30.423892, -91.154637",10,Open,2015-01-22,SC,thread
"Wichita, KS",4760 S. Broadway St.,Wichita,KS,67216,USA,6,"37.60878, -97.33314",388,Open,2015-01-21,SC,thread
"Redondo Beach, CA",2410 Marine Ave,Redondo Beach,CA,90278,USA,8,"33.894294, -118.367379",21,Open,2015-01-20,SC,thread
"Hooksett (north), NH",Interstate 93 N,Hooksett,NH,3106,USA,6,"43.110063, -71.475087",85,Open,2015-01-20,SC,thread
"Grove City, OH",2221 Stringtown Rd,Grove City,OH,43123,USA,8,"39.877253, -83.063448",243,Open,2015-01-16,SC,thread
"Brattleboro, VT",499 Canal St,Brattleboro,VT,5301,USA,8,"42.838443, -72.565798",129,Open,2015-01-16,SC,thread
"Needles, CA",2451 Needles HWY,Needles,CA,92363,USA,4,"34.850835, -114.624329",157,Open,2015-01-16,SC,thread
"Hooksett (south), NH",Interstate 93 S,Hooksett,NH,3106,USA,6,"43.109521, -71.477006",85,Open,2015-01-15,SC,thread
"DeFuniak Springs, FL",10th St and Baldwin Ave,DeFuniak Springs,FL,32435,USA,5,"30.720702, -86.116677",76,Open,2015-01-09,SC,thread
"Springfield, IL",3801 South MacArthur Blvd,Springfield,IL,62711,USA,8,"39.748868, -89.67119",184,Open,2015-01-09,SC,thread
"Auburn, MA",385 Southbridge St,Auburn,MA,1501,USA,8,"42.203608, -71.832516",156,Open,2014-12-29,SC,thread
"El Centro, CA",3451 S Dogwood Rd,El Centro,CA,92243,USA,8,"32.763723, -115.531517",-8,Open,2014-12-28,SC,thread
"Auburn, AL",1627 Opelika Rd,Auburn,AL,,USA,6,"32.625185, -85.446314",222,Open,2014-12-23,SC,thread
"Lima, OH",1933 Roschman Ave,Lima,OH,45804,USA,8,"40.726668, -84.071932",271,Open,2014-12-23,SC,thread
"Lake Charles, LA",1772 W. Prien Lake Rd,Lake Charles,LA,70601,USA,6,"30.200741, -93.248171",3,Open,2014-12-21,SC,thread
"Culver City, CA",6000 Hannum Ave,Culver City,CA,90230,USA,12,"33.986779, -118.390213",13,Open,2014-12-18,SC,thread
"Atlanta, GA",1371 Market St NW,Atlanta,GA,30363,USA,10,"33.792089, -84.393747",268,Open,2014-12-18,SC,thread
"Cabazon, CA",48400 Seminole Dr,Cabazon,CA,92230,USA,10,"33.93129, -116.820041",620,Open,2014-12-17,SC,thread
"Greenville, AL",219 Interstate Dr,Greenville,AL,36037,USA,6,"31.855989, -86.635765",145,Open,2014-12-06,SC,thread
"West Hartford, CT",1445 New Britain Ave,West Hartford,CT,6110,USA,8,"41.722672, -72.759717",52,Open,2014-12-05,SC,thread
"Superior, MT",205 E 4th Ave,Superior,MT,59872,USA,4,"47.192149, -114.888901",835,Open,2014-12-05,SC,thread
"Butte, MT",2900 Harrison Ave,Butte,MT,59701,USA,6,"45.981226, -112.507161","1,666",Open,2014-12-04,SC,thread
"Fort Drum, FL",184 Florida's Turnpike,Okeechobee,FL,34972,USA,6,"27.601444, -80.822187",16,Open,2014-11-26,SC,thread
"Paramus, NJ",530 New Jersey 17,Paramus,NJ,7652,USA,8,"40.957429, -74.07408",15,Open,2014-11-26,SC,thread
"Primm, NV",31900 Las Vegas Blvd S,Primm,NV,89019,USA,8,"35.610687, -115.388028",795,Open,2014-11-26,SC,thread
"Orlando, FL",Turkey Lake Service Plaza,Orlando,FL,32835,USA,6,"28.514874, -81.500214",1,Open,2014-11-21,SC,thread
"Decatur, GA",1580 Church St,Decatur,GA,30033,USA,4,"33.793217, -84.285379",310,Open,2014-11-20,SC,thread
"Rancho Cucamonga, CA",12505 North Main Street,Rancho Cucamonga,CA,91739,USA,12,"34.113592, -117.529406",381,Open,2014-11-20,SC,thread
"Dayton, OH",9200 N Main St,Dayton,OH,45445,USA,8,"39.85675, -84.276458",258,Open,2014-11-11,SC,thread
"Salisbury, MD",2300 North Salisbury Blvd.,Salisbury,MD,21801,USA,6,"38.401648, -75.564818",12,Open,2014-11-08,SC,thread
"Denver, CO",4310 Airport Way,Denver,CO,80239,USA,6,"39.775259, -104.794674","1,641",Open,2014-11-08,SC,thread
"Country Club Hills, IL",4201 167th St,Country Club Hills,IL,60478,USA,8,"41.584927, -87.721062",205,Open,2014-11-08,SC,thread
"Ocala, FL",4414 SW College Road,Ocala,FL,34474,USA,8,"29.140985, -82.19395",23,Open,2014-11-03,SC,thread
"Indianapolis, IN",5120 Victory Drive,Indianapolis,IN,46203,USA,8,"39.702444, -86.079687",253,Open,2014-10-29,SC,thread
"Missoula, MT",5280 Grant Creek Rd,Missoula,MT,59808,USA,6,"46.912545, -114.031824","1,009",Open,2014-10-29,SC,thread
"Sagamore, MA",22 Meetinghouse Ln,Sagamore,MA,2562,USA,8,"41.781242, -70.540271",26,Open,2014-10-27,SC,thread
"Bozeman, MT",2023 Commerce Way,Bozeman,MT,59715,USA,4,"45.700078, -111.062569","1,442",Open,2014-10-22,SC,thread
"Big Timber, MT",228 Big Timber Loop Rd,Big Timber,MT,59011,USA,4,"45.836945, -109.944577","1,245",Open,2014-10-22,SC,thread
"Topeka, KS",5930 Huntoon Street,Topeka,KS,66614,USA,8,"39.044199, -95.76046",283,Open,2014-10-17,SC,thread
"Cordes Lakes, AZ",14925 Cordes Lakes Rd,Mayer,AZ,86333,USA,6,"34.327131, -112.118432","1,150",Open,2014-10-14,SC,thread
"Lafayette, IN",4901 Indiana 26,Lafayette,IN,47905,USA,8,"40.416993, -86.812428",202,Open,2014-10-10,SC,thread
"Casa Grande, AZ",2453 E Florence,Casa Grande,AZ,85194,USA,6,"32.87888, -111.681742",435,Open,2014-09-30,SC,thread
"Indio, CA",42100 Jackson St,Indio,CA,92203,USA,8,"33.741484, -116.215019",-3,Open,2014-09-26,SC,thread
"Brandon, FL",2400 W Brandon Blvd,Brandon,FL,33511,USA,8,"27.940831, -82.323648",12,Open,2014-09-24,SC,thread
"Oxnard, CA",2751 Park View Ct,Oxnard,CA,93036,USA,10,"34.238654, -119.177398",24,Open,2014-09-24,SC,thread
"Grand Ave (SC), Chicago, IL",1053 W Grand Ave,Chicago,IL,60642,USA,2,"41.890732, -87.654125",181,Open,2014-09-09,SC,thread
"Chattanooga, TN",1001 Airport Rd,Chattanooga,TN,37421,USA,6,"35.037458, -85.196339",204,Open,2014-09-04,SC,thread
"Truckee, CA",11290 Donner Pass Rd,Truckee,CA,96161,USA,6,"39.327507, -120.207373","1,967",Open,2014-08-26,SC,thread
"Edison, NJ",199 Lafayette Ave,Edison,NJ,8837,USA,8,"40.544814, -74.333248",30,Open,2014-08-22,SC,thread
"Lake City, FL",2893 W US Highway 90,Lake City,FL,32055,USA,6,"30.181429, -82.679701",46,Open,2014-08-20,SC,thread
"St. George, UT",1091 N Bluff St,St. George,UT,84770,USA,4,"37.125336, -113.60272",887,Open,2014-08-14,SC,thread
"South Hill, VA",1791 N Mecklenburg Ave,South Hill,VA,23970,USA,6,"36.748445, -78.103764",125,Open,2014-08-07,SC,thread
